Indirect,Pallet Sorting,482,590,571,573,595,633,617,598,618,610,630,621,602,509,493,593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indirect,Peak Step Up,0,0,0,0,0,0,0,0,0,0,0,0,0,0,986,"1,186",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indirect,WO Checking,127,193,15,103,5,45,12,60,74,(32),43,95,(27),126,21,(25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indirect,Forums & Meetings,279,149,(41),244,232,206,41,152,96,260,(621),166,84,345,359,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indirect,Projects,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indirect,Training,766,550,580,(518),"1,570","1,626",900,"1,228",115,263,"1,217","1,186","1,214",676,534,(301),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indirect,Step Up Development Programme,490,590,579,584,595,633,617,598,618,635,630,621,602,509,493,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indirect,No Work,0,0,"1,278",(77),(186),393,0,"5,370","3,403",635,1,"5,854","2,685",0,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indirect,Exceptional,(801),"(1,209)",(971),"(2,144)",(644),(106),102,"(1,294)",(857),"(1,063)",(475),(249),(314),582,7,(166),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holiday,Holiday,"3,274",9,"(1,840)",(684),"1,126","1,755","2,156",717,"2,349","2,037",944,"1,527",(2),"1,385","(2,355)",(524),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Absence,Absence,81,(197),152,"1,126",991,"1,940","1,777","1,594","1,030",(466),"1,335","1,184","1,774","1,435","1,020","1,317",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
